Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R63","10M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",226.822000,-139.954000,90.000000,top
"R65","4816P-1-272LF","SOIC-16W_5.3x10.2mm_P1.27mm",120.142000,-127.254000,90.000000,top
"R70","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",183.642000,-108.204000,270.000000,top
"R71","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",216.027000,-91.694000,90.000000,top
"R72","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.202000,-108.204000,270.000000,top
"R73","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",186.182000,-108.204000,270.000000,top
"R74","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",218.821000,-69.977000,0.000000,top
"R75","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.975000,-70.612000,0.000000,top
"R76","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",196.342000,-91.694000,90.000000,top
"R77","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.392000,-69.977000,180.000000,top
"R78","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",177.165000,-70.612000,180.000000,top
"R79","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",199.517000,-91.694000,90.000000,top
"R80","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",199.644000,-70.231000,0.000000,top
"R81","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",162.687000,-70.104000,0.000000,top
"R82","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",179.832000,-91.694000,90.000000,top
"R83","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",196.088000,-70.231000,180.000000,top
"R84","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",158.877000,-70.104000,180.000000,top
"R85","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",183.007000,-91.694000,90.000000,top
"U2","MC1413B","SOIC-16_3.9x9.9mm_P1.27mm",135.382000,-114.554000,270.000000,top
"U3","AD8001AR","SOIC-8_3.9x4.9mm_P1.27mm",141.732000,-80.264000,0.000000,top
"U4","AD8001AR","SOIC-8_3.9x4.9mm_P1.27mm",121.412000,-78.994000,0.000000,top
"U5","74LS393","SOIC-14_3.9x8.7mm_P1.27mm",151.892000,-80.264000,90.000000,top
"U6","74LS393","SOIC-14_3.9x8.7mm_P1.27mm",131.572000,-80.264000,90.000000,top
"U7","ADS122c4","TSSOP-16_4.4x5mm_P0.65mm",168.402000,-120.904000,0.000000,top
"U8","ADS122c4","TSSOP-16_4.4x5mm_P0.65mm",183.642000,-120.904000,0.000000,top
"U9","ADS122c4","TSSOP-16_4.4x5mm_P0.65mm",198.882000,-120.904000,0.000000,top
"U10","ADS122c4","TSSOP-16_4.4x5mm_P0.65mm",214.122000,-120.904000,0.000000,top
"U11","ADS122c4","TSSOP-16_4.4x5mm_P0.65mm",230.632000,-120.904000,0.000000,top
"U12","BD70GC0WEFJ-E2","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",80.264000,-120.396000,90.000000,top
"U13","LM1084-5.0","TO-263-3_TabPin2",103.928000,-117.113000,0.000000,top
"U14","MC1413B","SOIC-16_3.9x9.9mm_P1.27mm",120.142000,-114.554000,270.000000,top
