Manufacturer #, quantity, Digikey part #
SM6T7V5A, 1, 497-7439-1-ND
TL051CDR, 2, 296-24364-1-ND
ADS122c04, 5, 296-50885-1-ND
MC1413B, 2, MC1413BDR2GOSCT-ND
SP0502BAHTG, 1, F2714CT-ND
IRLZ44NPBF, 9, IRLZ44NPBF-ND
Teensy4.1, 1, 1568-DEV-16771-ND
SI2300-TP, 4, SI2300-TPMSCT-ND
BD70GC0WEFJ-E2, 1, BD70GC0WEFJ-E2CT-ND
74LS393, 2, 296-3705-5-ND
LM1084-5.0, 1, LM1084ISX-5.0/NOPBCT-ND
SM6T12A, 1, 497-12775-1-ND
4816P-1-272LF, 2, 4816P-1-272LFCT-ND
