Timestamp (ms),TNSY_raw,TNSY_value,TNSY_offset
8.694369554519653,450,450,0
8.695387840270996,87,87,0
8.696696996688843,76,76,0
8.696696996688843,72,72,0
8.697704076766968,76,76,0
8.698947429656982,145,145,0
8.700042486190796,277,277,0
8.701051473617554,400,400,0
8.702050924301147,436,436,0
8.703051090240479,396,396,0
8.704298734664917,439,439,0
8.70530915260315,971,971,0
8.706460952758789,981,981,0
8.706460952758789,985,985,0
8.708837747573853,982,982,0
8.708837747573853,968,968,0
8.70984435081482,687,687,0
8.711310625076294,105,105,0
8.720919132232666,76,76,0
8.721929550170898,75,75,0
8.722927808761597,75,75,0
8.723925828933716,125,125,0
8.72492527961731,288,288,0
8.725925207138062,401,401,0
8.725925207138062,453,453,0
8.726925373077393,405,405,0
8.727925300598145,363,363,0
8.727925300598145,957,957,0
8.728924989700317,983,983,0
8.728924989700317,988,988,0
8.729925632476807,984,984,0
8.730927467346191,967,967,0
8.730927467346191,933,933,0
8.731931686401367,102,102,0
8.731931686401367,69,69,0
8.732933521270752,70,70,0
8.732933521270752,74,74,0
8.732933521270752,109,109,0
8.734393835067749,322,322,0
8.735445737838745,390,390,0
8.735445737838745,467,467,0
8.736461639404297,431,431,0
8.737461805343628,377,377,0
8.73846173286438,782,782,0
8.739453792572021,981,981,0
8.739453792572021,989,989,0
8.740943908691406,992,992,0
8.742038011550903,977,977,0
8.743116855621338,954,954,0
8.744255542755127,261,261,0
8.745293140411377,80,80,0
8.746286630630493,75,75,0
8.747286319732666,73,73,0
8.748303890228271,74,74,0
8.74930191040039,264,264,0
8.750303268432617,366,366,0
8.751297235488892,446,446,0
8.75229811668396,449,449,0
8.753688097000122,394,394,0
8.754773616790771,573,573,0
8.75579833984375,982,982,0
8.756792306900024,980,980,0
8.757792949676514,986,986,0
8.757792949676514,982,982,0
8.759276628494263,968,968,0
8.760290384292603,507,507,0
8.761286973953247,96,96,0
8.762795448303223,77,77,0
8.764044523239136,69,69,0
8.765054941177368,75,75,0
8.766387224197388,138,138,0
8.766387224197388,266,266,0
8.767679452896118,398,398,0
8.76890754699707,438,438,0
8.76890754699707,401,401,0
8.770357847213745,409,409,0
8.771587133407593,968,968,0
8.772905588150024,980,980,0
8.77391529083252,988,988,0
8.774914741516113,980,980,0
8.775970458984375,967,967,0
8.776987314224243,749,749,0
8.77806305885315,103,103,0
8.779080629348755,73,73,0
8.780104637145996,75,75,0
8.781447649002075,74,74,0
8.782461881637573,124,124,0
8.783467292785645,311,311,0
8.784460067749023,402,402,0
8.785497903823853,496,496,0
8.785497903823853,396,396,0
8.78687858581543,355,355,0
8.788172960281372,944,944,0
8.789186716079712,983,983,0
8.790186643600464,990,990,0
8.791185855865479,982,982,0
8.79218339920044,972,972,0
8.79318642616272,937,937,0
8.794190168380737,105,105,0
8.795184135437012,72,72,0
8.79619550704956,72,72,0
8.79749059677124,75,75,0
8.798502445220947,103,103,0
8.79996395111084,321,321,0
8.800975322723389,386,386,0
8.801985025405884,461,461,0
8.802978038787842,444,444,0
8.804002285003662,388,388,0
8.804996728897095,731,731,0
8.805980205535889,980,980,0
8.806999206542969,990,990,0
8.807985067367554,992,992,0
