Time(ms),MoTE,Pin,State,P&ID
22.090264558792114,2,6,True,VNTF
30.64251971244812,2,5,True,VNTO
32.11332082748413,2,7,True,VQDA
35.44970631599426,3,5,True,VNMO
36.75712776184082,3,6,True,VNMF
41.21684813499451,3,7,True,VPTF
42.28749752044678,3,8,True,IGNTN
43.02842926979065,2,8,True,VNOF
44.20656228065491,2,8,False,VNOF
44.61613965034485,2,7,False,VQDA
45.02668046951294,2,6,False,VNTF
45.45047092437744,2,5,False,VNTO
45.84774351119995,3,8,False,IGNTN
46.354071617126465,3,7,False,VPTF
46.788726806640625,3,6,False,VNMF
47.324275493621826,3,5,False,VNMO
340.94888043403625,3,5,False,VNMO
