Time(ms),MoTE,Pin,State,P&ID
67.4904854297638,3,0,True,NULL
67.65228271484375,3,0,False,NULL
67.80316543579102,3,0,True,NULL
68.48553705215454,3,0,False,NULL
69.0253803730011,3,0,True,NULL
69.79117441177368,3,1,True,NULL
70.61825156211853,3,1,False,NULL
71.72841429710388,3,1,True,NULL
78.6488950252533,3,22,False,NULL
84.37783670425415,1,0,True,NULL
84.37819004058838,2,0,True,NULL
84.37839937210083,3,0,True,NULL
87.08454489707947,1,0,False,NULL
87.08484745025635,2,0,False,NULL
87.08503127098083,3,0,False,NULL
88.64985609054565,3,22,True,NULL
90.75369143486023,3,22,False,NULL
92.90057587623596,1,0,True,NULL
92.90067481994629,2,0,True,NULL
92.9007158279419,3,0,True,NULL
93.13234114646912,1,0,True,NULL
93.13246154785156,2,0,True,NULL
93.13253974914551,3,0,True,NULL
